id,entry_level,download_speed,audio_visual_design,presentation_of_content,structure_navigation
36314964,Suitable for everyone,3,3,3,3
36314975,Suitable for everyone,3,3,3,3
36321921,Suitable for everyone,3,3,3,3
36322004,Suitable for everyone,3,3,3,3
36322892,Suitable for everyone,3,3,3,3
36322916,Suitable for everyone,3,3,3,3
36322919,Suitable for everyone,3,3,3,3
36322922,Suitable for everyone,3,3,3,3
36322926,Suitable for everyone,3,3,3,3
36322931,Suitable for everyone,3,3,3,3
36322934,Suitable for everyone,3,3,3,3
36322944,Suitable for everyone,3,3,3,3
36322954,Suitable for everyone,3,3,3,3
36322957,Suitable for everyone,3,3,3,3
36322963,Suitable for everyone,3,3,3,3
36334493,Suitable for everyone,3,3,3,3
36348158,Suitable for everyone,3,3,3,3
36349937,Suitable for everyone,3,3,3,3
36349943,Suitable for everyone,3,3,3,3
36349948,Suitable for everyone,3,3,3,3
36349954,Suitable for everyone,3,3,3,3
36349957,Suitable for everyone,3,3,3,3
36349960,Suitable for everyone,3,3,3,3
36349964,Suitable for everyone,3,3,3,3
36349992,Suitable for everyone,3,3,3,3
36350022,Suitable for everyone,3,3,3,3
36350131,Suitable for everyone,3,3,3,3
36350206,Suitable for everyone,3,3,3,3
36350220,Suitable for everyone,3,3,3,3
36350223,Suitable for everyone,3,3,3,3
36350235,Suitable for everyone,3,3,3,3
36350260,Suitable for everyone,3,3,3,3
36350278,Suitable for everyone,3,3,3,3
36350307,Suitable for everyone,3,3,3,3
36350312,Suitable for everyone,3,3,3,3
36350315,Suitable for everyone,3,3,3,3
36350320,Suitable for everyone,3,3,3,3
36350323,Suitable for everyone,3,3,3,3
36350331,Suitable for everyone,3,3,3,3
36350332,Suitable for everyone,3,3,3,3
36350334,Suitable for everyone,3,3,3,3
36350338,Suitable for everyone,3,3,3,3
36350344,Suitable for everyone,3,3,3,3
36350347,Suitable for everyone,3,3,3,3
36350350,Suitable for everyone,3,3,3,3
36350360,Suitable for everyone,3,3,3,3
36350368,Suitable for everyone,3,3,3,3
36350375,Suitable for everyone,3,3,3,3
36350399,Suitable for everyone,3,3,3,3
36350404,Suitable for everyone,3,3,3,3
36350407,Suitable for everyone,3,3,3,3
36350411,Suitable for everyone,3,3,3,3
36350414,Suitable for everyone,3,3,3,3
36350417,Suitable for everyone,3,3,3,3
36350421,Suitable for everyone,3,3,3,3
36390992,Suitable for everyone,3,3,3,3
36391035,Suitable for everyone,3,3,3,3
36392290,Suitable for everyone,3,3,3,3
36393743,Suitable for everyone,3,3,3,3
36393745,Suitable for everyone,3,3,3,3
36393750,Suitable for everyone,3,3,3,3
36393752,Suitable for everyone,3,3,3,3
36393755,Suitable for everyone,3,3,3,3
36393760,Suitable for everyone,3,3,3,3
36393810,Suitable for everyone,3,3,3,3
36393815,Suitable for everyone,3,3,3,3
36393823,Suitable for everyone,3,3,3,3
36393826,Suitable for everyone,3,3,3,3
36393828,Suitable for everyone,3,3,3,3
36393831,Suitable for everyone,3,3,3,3
36393839,Suitable for everyone,3,3,3,3
36393842,Suitable for everyone,3,3,3,3
36393844,Suitable for everyone,3,3,3,3
36393850,Suitable for everyone,3,3,3,3
36393852,Suitable for everyone,3,3,3,3
36393855,Suitable for everyone,3,3,3,3
36393857,Suitable for everyone,3,3,3,3
36393859,Suitable for everyone,3,3,3,3
36393861,Suitable for everyone,3,3,3,3
36393864,Suitable for everyone,3,3,3,3
36395402,Suitable for everyone,3,3,3,3
36397324,Suitable for everyone,3,3,3,3
36397327,Suitable for everyone,3,3,3,3
36397328,Suitable for everyone,3,3,3,3
36397331,Suitable for everyone,3,3,3,3
36397332,Suitable for everyone,3,3,3,3
36397356,Suitable for everyone,3,3,3,3
36397358,Suitable for everyone,3,3,3,3
36397362,Suitable for everyone,3,3,3,3
36397366,Suitable for everyone,3,3,3,3
36397369,Suitable for everyone,3,3,3,3
36397371,Suitable for everyone,3,3,3,3
36397373,Suitable for everyone,3,3,3,3
36397379,Suitable for everyone,3,3,3,3
36397380,Suitable for everyone,3,3,3,3
36397382,Suitable for everyone,3,3,3,3
36397383,Suitable for everyone,3,3,3,3
36397385,Suitable for everyone,3,3,3,3
36397388,Suitable for everyone,3,3,3,3
36397397,Suitable for everyone,3,3,3,3
36397406,Suitable for everyone,3,3,3,3
36397413,Suitable for everyone,3,3,3,3
36397415,Suitable for everyone,3,3,3,3
36398432,Suitable for everyone,3,3,3,3
36399108,Suitable for everyone,3,3,3,3
36399432,Suitable for everyone,3,3,3,3
36399484,Suitable for everyone,3,3,3,3
36403119,Suitable for everyone,3,3,3,3
36403130,Suitable for everyone,3,3,3,3
36403133,Suitable for everyone,3,3,3,3
36403166,Suitable for everyone,3,3,3,3
36403175,Suitable for everyone,3,3,3,3
36403547,Suitable for everyone,3,3,3,3
36403762,Suitable for everyone,3,3,3,3
36403765,Suitable for everyone,3,3,3,3
36403775,Suitable for everyone,3,3,3,3
36418729,Suitable for everyone,3,3,3,3
36427362,Suitable for everyone,3,3,3,3
36437788,Suitable for everyone,3,3,3,3
36438143,Suitable for everyone,3,3,3,3
36438164,Suitable for everyone,3,3,3,3
36438272,Suitable for everyone,3,3,3,3
36438282,Suitable for everyone,3,3,3,3
36438292,Suitable for everyone,3,3,3,3
36438302,Suitable for everyone,3,3,3,3
36438312,Suitable for everyone,3,3,3,3
36438339,Suitable for everyone,3,3,3,3
36438353,Suitable for everyone,3,3,3,3
36438367,Suitable for everyone,3,3,3,3
36438379,Suitable for everyone,3,3,3,3
36438398,Suitable for everyone,3,3,3,3
36438403,Suitable for everyone,3,3,3,3
36438409,Suitable for everyone,3,3,3,3
36438416,Suitable for everyone,3,3,3,3
36438421,Suitable for everyone,3,3,3,3
36438425,Suitable for everyone,3,3,3,3
36438429,Suitable for everyone,3,3,3,3
36438435,Suitable for everyone,3,3,3,3
36438437,Suitable for everyone,3,3,3,3
36438441,Suitable for everyone,3,3,3,3
36438446,Suitable for everyone,3,3,3,3
36438457,Suitable for everyone,3,3,3,3
36438481,Suitable for everyone,3,3,3,3
36438558,Suitable for everyone,3,3,3,3
36438582,Suitable for everyone,3,3,3,3
